matchday,position,team_name,playedGames
24,7,Villarreal CF,24
24,8,Athletic Club,24
24,9,Rayo Vallecano de Madrid,24
24,10,CA Osasuna,24
24,11,RC Celta de Vigo,24
24,12,Valencia CF,24
24,13,RCD Espanyol de Barcelona,24
24,14,Elche CF,24
24,15,RCD Mallorca,24
24,16,Getafe CF,24
24,17,Granada CF,24
24,18,Deportivo Alavés,24
24,19,Cádiz CF,24
24,20,Levante UD,24
25,1,Real Madrid CF,25
25,2,Sevilla FC,25
25,3,Real Betis Balompié,25
25,4,FC Barcelona,25
25,5,Club Atlético de Madrid,25
25,6,Real Sociedad de Fútbol,25
25,7,Villarreal CF,25
25,8,Athletic Club,25
25,9,Rayo Vallecano de Madrid,25
25,10,RC Celta de Vigo,25
25,11,CA Osasuna,25
25,12,Valencia CF,25
25,13,RCD Espanyol de Barcelona,25
25,14,Elche CF,25
25,15,Getafe CF,25
25,16,RCD Mallorca,25
25,17,Granada CF,25
25,18,Cádiz CF,25
25,19,Deportivo Alavés,25
25,20,Levante UD,25
26,1,Real Madrid CF,26
26,2,Sevilla FC,26
26,3,Real Betis Balompié,26
26,4,FC Barcelona,26
26,5,Club Atlético de Madrid,26
26,6,Real Sociedad de Fútbol,26
26,7,Villarreal CF,26
26,8,Athletic Club,26
26,9,Rayo Vallecano de Madrid,26
26,10,Valencia CF,26
26,11,RC Celta de Vigo,26
26,12,CA Osasuna,26
26,13,RCD Espanyol de Barcelona,26
26,14,Elche CF,26
26,15,Getafe CF,26
26,16,RCD Mallorca,26
26,17,Granada CF,26
26,18,Cádiz CF,26
26,19,Deportivo Alavés,26
26,20,Levante UD,26
27,1,Real Madrid CF,27
27,2,Sevilla FC,27
27,3,FC Barcelona,27
27,4,Club Atlético de Madrid,27
27,5,Real Betis Balompié,27
27,6,Real Sociedad de Fútbol,27
27,7,Villarreal CF,27
27,8,Athletic Club,27
27,9,Valencia CF,27
27,10,RC Celta de Vigo,27
27,11,CA Osasuna,27
27,12,Rayo Vallecano de Madrid,27
27,13,RCD Espanyol de Barcelona,27
27,14,Elche CF,27
27,15,Getafe CF,27
27,16,RCD Mallorca,27
27,17,Granada CF,27
27,18,Cádiz CF,27
27,19,Deportivo Alavés,27
27,20,Levante UD,27
28,1,Real Madrid CF,28
28,2,Sevilla FC,28
28,3,FC Barcelona,28
28,4,Club Atlético de Madrid,28
28,5,Real Betis Balompié,28
28,6,Real Sociedad de Fútbol,28
28,7,Villarreal CF,28
28,8,Athletic Club,28
28,9,Valencia CF,28
28,10,RC Celta de Vigo,28
28,11,Rayo Vallecano de Madrid,28
28,12,CA Osasuna,28
28,13,RCD Espanyol de Barcelona,28
28,14,Elche CF,28
28,15,Getafe CF,28
28,16,RCD Mallorca,28
28,17,Granada CF,28
28,18,Cádiz CF,28
28,19,Deportivo Alavés,28
28,20,Levante UD,28
29,1,Real Madrid CF,29
29,2,Sevilla FC,29
29,3,FC Barcelona,29
29,4,Club Atlético de Madrid,29
29,5,Real Betis Balompié,29
29,6,Real Sociedad de Fútbol,29
29,7,Villarreal CF,29
29,8,Athletic Club,29
29,9,Valencia CF,29
29,10,CA Osasuna,29
29,11,RC Celta de Vigo,29
29,12,RCD Espanyol de Barcelona,29
29,13,Rayo Vallecano de Madrid,29
29,14,Elche CF,29
29,15,Getafe CF,29
29,16,Granada CF,29
29,17,Cádiz CF,29
29,18,RCD Mallorca,29
29,19,Deportivo Alavés,29
29,20,Levante UD,29
30,1,Real Madrid CF,30
30,2,FC Barcelona,30
30,3,Club Atlético de Madrid,30
30,4,Sevilla FC,30
30,5,Real Betis Balompié,30
30,6,Real Sociedad de Fútbol,30
30,7,Villarreal CF,30
30,8,Athletic Club,30
30,9,Valencia CF,30
30,10,CA Osasuna,30
30,11,RC Celta de Vigo,30
30,12,Rayo Vallecano de Madrid,30
30,13,RCD Espanyol de Barcelona,30
30,14,Getafe CF,30
30,15,Elche CF,30
30,16,Granada CF,30
30,17,Cádiz CF,30
30,18,RCD Mallorca,30
30,19,Levante UD,30
30,20,Deportivo Alavés,30
31,1,Real Madrid CF,31
31,2,FC Barcelona,31
31,3,Sevilla FC,31
31,4,Club Atlético de Madrid,31
31,5,Real Betis Balompié,31
31,6,Real Sociedad de Fútbol,31
31,7,Villarreal CF,31
31,8,Athletic Club,31
31,9,Valencia CF,31
31,10,CA Osasuna,31
31,11,RCD Espanyol de Barcelona,31
31,12,Rayo Vallecano de Madrid,31
31,13,RC Celta de Vigo,31
31,14,Getafe CF,31
31,15,Elche CF,31
31,16,Granada CF,31
31,17,RCD Mallorca,31
31,18,Cádiz CF,31
31,19,Levante UD,31
31,20,Deportivo Alavés,31
32,1,Real Madrid CF,32
32,2,FC Barcelona,32
32,3,Sevilla FC,32
32,4,Club Atlético de Madrid,32
32,5,Real Betis Balompié,32
32,6,Real Sociedad de Fútbol,32
32,7,Villarreal CF,32
32,8,Athletic Club,32
32,9,CA Osasuna,32
32,10,Valencia CF,32
32,11,RC Celta de Vigo,32
32,12,RCD Espanyol de Barcelona,32
32,13,Rayo Vallecano de Madrid,32
32,14,Elche CF,32
32,15,Getafe CF,32
32,16,Cádiz CF,32
32,17,Granada CF,32
32,18,RCD Mallorca,32
32,19,Levante UD,32
32,20,Deportivo Alavés,32
33,1,Real Madrid CF,33
33,2,FC Barcelona,33
33,3,Sevilla FC,33
33,4,Club Atlético de Madrid,33
33,5,Real Betis Balompié,33
33,6,Real Sociedad de Fútbol,33
33,7,Villarreal CF,33
33,8,Athletic Club,33
33,9,CA Osasuna,33
33,10,Valencia CF,33
33,11,Rayo Vallecano de Madrid,33
33,12,RC Celta de Vigo,33
33,13,RCD Espanyol de Barcelona,33
33,14,Elche CF,33
33,15,Getafe CF,33
33,16,RCD Mallorca,33
33,17,Cádiz CF,33
33,18,Granada CF,33
33,19,Levante UD,33
33,20,Deportivo Alavés,33
34,1,Real Madrid CF,34
34,2,FC Barcelona,34
34,3,Sevilla FC,34
34,4,Club Atlético de Madrid,34
34,5,Real Betis Balompié,34
34,6,Real Sociedad de Fútbol,34
34,7,Villarreal CF,34
34,8,Athletic Club,34
34,9,CA Osasuna,34
34,10,Valencia CF,34
34,11,Rayo Vallecano de Madrid,34
34,12,RC Celta de Vigo,34
34,13,Elche CF,34
34,14,RCD Espanyol de Barcelona,34
34,15,Getafe CF,34
34,16,Cádiz CF,34
34,17,RCD Mallorca,34
34,18,Granada CF,34
34,19,Deportivo Alavés,34
34,20,Levante UD,34
35,1,Real Madrid CF,35
35,2,FC Barcelona,35
35,3,Sevilla FC,35
35,4,Club Atlético de Madrid,35
35,5,Real Betis Balompié,35
35,6,Real Sociedad de Fútbol,35
35,7,Villarreal CF,35
35,8,Athletic Club,35
35,9,CA Osasuna,35
35,10,Valencia CF,35
35,11,RC Celta de Vigo,35
35,12,Rayo Vallecano de Madrid,35
35,13,RCD Espanyol de Barcelona,35
35,14,Elche CF,35
35,15,Getafe CF,35
35,16,Cádiz CF,35
35,17,Granada CF,35
35,18,RCD Mallorca,35
35,19,Levante UD,35
35,20,Deportivo Alavés,35
36,1,Real Madrid CF,36
36,2,FC Barcelona,36
36,3,Club Atlético de Madrid,36
36,4,Sevilla FC,36
36,5,Real Betis Balompié,36
36,6,Real Sociedad de Fútbol,36
36,7,Villarreal CF,36
36,8,Athletic Club,36
36,9,CA Osasuna,36
36,10,Valencia CF,36
36,11,RC Celta de Vigo,36
36,12,Rayo Vallecano de Madrid,36
36,13,RCD Espanyol de Barcelona,36
36,14,Elche CF,36
36,15,Getafe CF,36
36,16,Granada CF,36
36,17,Cádiz CF,36
36,18,RCD Mallorca,36
36,19,Deportivo Alavés,36
36,20,Levante UD,36
37,1,Real Madrid CF,37
37,2,FC Barcelona,37
37,3,Club Atlético de Madrid,37
37,4,Sevilla FC,37
37,5,Real Betis Balompié,37
37,6,Real Sociedad de Fútbol,37
37,7,Villarreal CF,37
37,8,Athletic Club,37
37,9,CA Osasuna,37
37,10,RC Celta de Vigo,37
37,11,Valencia CF,37
37,12,Rayo Vallecano de Madrid,37
37,13,RCD Espanyol de Barcelona,37
37,14,Getafe CF,37
37,15,Elche CF,37
37,16,Granada CF,37
37,17,Cádiz CF,37
37,18,RCD Mallorca,37
37,19,Levante UD,37
37,20,Deportivo Alavés,37
38,1,Real Madrid CF,38
38,2,FC Barcelona,38
38,3,Club Atlético de Madrid,38
38,4,Sevilla FC,38
38,5,Real Betis Balompié,38
38,6,Real Sociedad de Fútbol,38
38,7,Villarreal CF,38
38,8,Athletic Club,38
38,9,Valencia CF,38
38,10,CA Osasuna,38
38,11,RC Celta de Vigo,38
38,12,Rayo Vallecano de Madrid,38
38,13,Elche CF,38
38,14,RCD Espanyol de Barcelona,38
38,15,Getafe CF,38
38,16,Cádiz CF,38
38,17,RCD Mallorca,38
38,18,Granada CF,38
38,19,Levante UD,38
38,20,Deportivo Alavés,38
