matchday,position,team_name,playedGames
17,1,AC Milan,17
17,2,FC Internazionale Milano,17
17,3,Juventus FC,17
17,5,Atalanta BC,17
17,6,SSC Napoli,17
17,7,US Sassuolo Calcio,17
17,8,SS Lazio,17
17,10,Benevento Calcio,17
17,11,UC Sampdoria,17
17,12,ACF Fiorentina,17
17,13,Udinese Calcio,17
17,14,Bologna FC 1909,17
17,15,Spezia Calcio,17
17,16,Cagliari Calcio,17
17,17,Genoa CFC,17
17,18,Torino FC,17
17,19,Parma Calcio 1913,17
17,20,FC Crotone,17
18,1,AC Milan,18
18,2,FC Internazionale Milano,18
18,3,Juventus FC,18
18,4,SSC Napoli,18
18,6,Atalanta BC,18
18,7,SS Lazio,18
18,8,US Sassuolo Calcio,18
18,10,UC Sampdoria,18
18,11,Benevento Calcio,18
18,12,Bologna FC 1909,18
18,13,Spezia Calcio,18
18,14,ACF Fiorentina,18
18,15,Udinese Calcio,18
18,16,Genoa CFC,18
18,17,Cagliari Calcio,18
18,18,Torino FC,18
18,19,Parma Calcio 1913,18
18,20,FC Crotone,18
19,1,AC Milan,19
19,2,FC Internazionale Milano,19
19,3,Juventus FC,19
19,5,Atalanta BC,19
19,6,SSC Napoli,19
19,7,SS Lazio,19
19,8,US Sassuolo Calcio,19
19,10,UC Sampdoria,19
19,11,Benevento Calcio,19
19,12,ACF Fiorentina,19
19,13,Bologna FC 1909,19
19,14,Udinese Calcio,19
19,15,Spezia Calcio,19
19,16,Genoa CFC,19
19,17,Torino FC,19
19,18,Cagliari Calcio,19
19,19,Parma Calcio 1913,19
19,20,FC Crotone,19
20,1,AC Milan,20
20,2,FC Internazionale Milano,20
20,3,Juventus FC,20
20,5,SSC Napoli,20
20,6,SS Lazio,20
20,7,Atalanta BC,20
20,8,US Sassuolo Calcio,20
20,10,UC Sampdoria,20
20,11,ACF Fiorentina,20
20,12,Benevento Calcio,20
20,13,Udinese Calcio,20
20,14,Genoa CFC,20
20,15,Bologna FC 1909,20
20,16,Spezia Calcio,20
20,17,Torino FC,20
20,18,Cagliari Calcio,20
20,19,Parma Calcio 1913,20
20,20,FC Crotone,20
21,1,AC Milan,21
21,2,FC Internazionale Milano,21
21,3,Juventus FC,21
21,5,SS Lazio,21
21,6,SSC Napoli,21
21,7,Atalanta BC,21
21,8,US Sassuolo Calcio,21
21,10,UC Sampdoria,21
21,11,Udinese Calcio,21
21,12,Genoa CFC,21
21,13,Bologna FC 1909,21
21,14,Benevento Calcio,21
21,15,ACF Fiorentina,21
21,16,Spezia Calcio,21
21,17,Torino FC,21
21,18,Cagliari Calcio,21
21,19,Parma Calcio 1913,21
21,20,FC Crotone,21
22,1,FC Internazionale Milano,22
22,2,AC Milan,22
22,3,Juventus FC,22
22,5,SSC Napoli,22
22,6,Atalanta BC,22
22,7,SS Lazio,22
22,8,US Sassuolo Calcio,22
22,10,UC Sampdoria,22
22,11,Genoa CFC,22
22,12,Bologna FC 1909,22
22,13,Spezia Calcio,22
22,14,Udinese Calcio,22
22,15,Benevento Calcio,22
22,16,ACF Fiorentina,22
22,17,Torino FC,22
22,18,Cagliari Calcio,22
22,19,Parma Calcio 1913,22
22,20,FC Crotone,22
23,1,FC Internazionale Milano,23
23,2,AC Milan,23
23,3,Juventus FC,23
23,5,Atalanta BC,23
23,6,SS Lazio,23
23,7,SSC Napoli,23
23,8,US Sassuolo Calcio,23
23,10,UC Sampdoria,23
23,11,Genoa CFC,23
23,12,Bologna FC 1909,23
23,13,Udinese Calcio,23
23,14,ACF Fiorentina,23
23,15,Benevento Calcio,23
23,16,Spezia Calcio,23
23,17,Torino FC,23
23,18,Cagliari Calcio,23
23,19,Parma Calcio 1913,23
23,20,FC Crotone,23
