matchday,position,team_name,playedGames,points,goalsFor,goalsAgainst,goalDifference
10,1,Real Madrid CF,10,28,25,8,17
10,2,FC Barcelona,10,25,24,4,20
10,3,Real Sociedad de Fútbol,10,22,16,12,4
10,4,Club Atlético de Madrid,10,20,16,8,8
10,5,Real Betis Balompié,10,20,13,6,7
10,6,Athletic Club,10,18,19,8,11
10,7,CA Osasuna,10,16,10,10,0
10,8,Valencia CF,10,15,17,11,6
10,9,Villarreal CF,10,15,12,6,6
10,10,Rayo Vallecano de Madrid,10,12,11,13,-2
10,11,Real Valladolid CF,10,11,10,15,-5
10,12,Sevilla FC,10,10,10,15,-5
10,13,UD Almería,10,10,11,17,-6
10,14,RC Celta de Vigo,10,10,11,20,-9
10,15,RCD Mallorca,10,9,7,11,-4
10,16,RCD Espanyol de Barcelona,10,9,12,17,-5
10,17,Getafe CF,10,9,10,18,-8
10,18,Girona FC,10,8,14,18,-4
10,19,Cádiz CF,10,7,4,17,-13
10,20,Elche CF,10,3,6,24,-18
11,1,Real Madrid CF,11,31,28,9,19
11,2,FC Barcelona,11,28,28,4,24
11,3,Club Atlético de Madrid,11,23,18,9,9
11,4,Real Sociedad de Fútbol,11,22,16,13,3
11,5,Real Betis Balompié,11,20,14,8,6
11,6,Athletic Club,11,18,19,12,7
11,7,Villarreal CF,11,18,14,7,7
11,8,CA Osasuna,11,17,11,11,0
11,9,Valencia CF,11,15,18,13,5
11,10,Rayo Vallecano de Madrid,11,15,16,14,2
11,11,Real Valladolid CF,11,14,11,15,-4
11,12,RCD Mallorca,11,12,9,12,-3
11,13,RC Celta de Vigo,11,11,12,21,-9
11,14,RCD Espanyol de Barcelona,11,10,14,19,-5
11,15,UD Almería,11,10,12,19,-7
11,16,Sevilla FC,11,10,11,18,-7
11,17,Getafe CF,11,10,11,19,-8
11,18,Girona FC,11,9,15,19,-4
11,19,Cádiz CF,11,7,5,22,-17
11,20,Elche CF,11,4,8,26,-18
12,1,Real Madrid CF,12,32,29,10,19
12,2,FC Barcelona,12,31,29,4,25
12,3,Club Atlético de Madrid,12,23,20,12,8
12,4,Real Betis Balompié,12,23,16,8,8
12,5,Real Sociedad de Fútbol,12,22,16,15,1
12,6,Athletic Club,12,21,20,12,8
12,7,CA Osasuna,12,20,13,11,2
12,8,Villarreal CF,12,18,14,8,6
12,9,Rayo Vallecano de Madrid,12,18,17,14,3
12,10,Valencia CF,12,15,18,14,4
12,11,Real Valladolid CF,12,14,11,17,-6
12,12,RCD Mallorca,12,13,10,13,-3
12,13,UD Almería,12,13,15,20,-5
12,14,Getafe CF,12,13,12,19,-7
12,15,RCD Espanyol de Barcelona,12,11,15,20,-5
12,16,RC Celta de Vigo,12,11,13,24,-11
12,17,Girona FC,12,10,16,20,-4
12,18,Sevilla FC,12,10,11,19,-8
12,19,Cádiz CF,12,10,8,24,-16
12,20,Elche CF,12,4,8,27,-19
13,1,FC Barcelona,13,34,31,4,27
13,2,Real Madrid CF,13,32,31,13,18
13,3,Club Atlético de Madrid,13,24,21,13,8
13,4,Real Betis Balompié,13,24,17,9,8
13,5,CA Osasuna,13,23,15,12,3
13,6,Real Sociedad de Fútbol,13,23,17,16,1
13,7,Athletic Club,13,21,21,14,7
13,8,Rayo Vallecano de Madrid,13,21,20,16,4
13,9,Villarreal CF,13,18,14,10,4
13,10,Real Valladolid CF,13,17,13,18,-5
13,11,Valencia CF,13,16,19,15,4
13,12,RCD Mallorca,13,16,12,13,-1
13,13,Getafe CF,13,14,12,19,-7
13,14,Girona FC,13,13,18,21,-3
13,15,UD Almería,13,13,15,22,-7
13,16,RCD Espanyol de Barcelona,13,12,16,21,-5
13,17,Sevilla FC,13,11,12,20,-8
13,18,RC Celta de Vigo,13,11,14,26,-12
13,19,Cádiz CF,13,11,8,24,-16
13,20,Elche CF,13,4,9,29,-20
14,1,FC Barcelona,14,37,33,5,28
14,2,Real Madrid CF,14,35,33,14,19
14,3,Real Sociedad de Fútbol,14,26,19,17,2
14,4,Athletic Club,14,24,24,14,10
14,5,Club Atlético de Madrid,14,24,21,14,7
14,6,Real Betis Balompié,14,24,17,12,5
14,7,CA Osasuna,14,23,16,14,2
14,8,Rayo Vallecano de Madrid,14,22,20,16,4
14,9,Villarreal CF,14,21,15,10,5
14,10,Valencia CF,14,19,22,15,7
14,11,RCD Mallorca,14,19,13,13,0
14,12,Real Valladolid CF,14,17,13,21,-8
14,13,Girona FC,14,16,20,22,-2
14,14,UD Almería,14,16,16,22,-6
14,15,Getafe CF,14,14,12,20,-8
14,16,RCD Espanyol de Barcelona,14,12,16,22,-6
14,17,RC Celta de Vigo,14,12,14,26,-12
14,18,Sevilla FC,14,11,13,22,-9
14,19,Cádiz CF,14,11,9,26,-17
14,20,Elche CF,14,4,10,31,-21
15,1,FC Barcelona,15,38,34,6,28
15,2,Real Madrid CF,15,38,35,14,21
15,3,Real Sociedad de Fútbol,15,29,21,17,4
15,4,Club Atlético de Madrid,15,27,23,14,9
15,5,Athletic Club,15,25,24,14,10
15,6,Real Betis Balompié,15,25,17,12,5
15,7,Villarreal CF,15,24,17,11,6
15,8,Rayo Vallecano de Madrid,15,23,22,18,4
15,9,CA Osasuna,15,23,16,16,0
15,10,Valencia CF,15,19,23,17,6
15,11,RCD Mallorca,15,19,13,15,-2
15,12,Girona FC,15,17,22,24,-2
15,13,UD Almería,15,17,17,23,-6
15,14,Getafe CF,15,17,14,20,-6
15,15,Real Valladolid CF,15,17,13,23,-10
15,16,RCD Espanyol de Barcelona,15,13,17,23,-6
15,17,RC Celta de Vigo,15,13,15,27,-12
15,18,Sevilla FC,15,12,14,23,-9
15,19,Cádiz CF,15,12,10,27,-17
15,20,Elche CF,15,4,10,33,-23
16,1,FC Barcelona,16,41,35,6,29
16,2,Real Madrid CF,16,38,36,16,20
16,3,Real Sociedad de Fútbol,16,32,23,17,6
16,4,Real Betis Balompié,16,28,19,13,6
16,5,Club Atlético de Madrid,16,27,23,15,8
16,6,Villarreal CF,16,27,19,12,7
16,7,Athletic Club,16,26,24,14,10
16,8,CA Osasuna,16,24,16,16,0
16,9,Rayo Vallecano de Madrid,16,23,23,20,3
16,10,RCD Mallorca,16,22,14,15,-1
16,11,Valencia CF,16,19,23,18,5
16,12,Girona FC,16,18,24,26,-2
16,13,Getafe CF,16,17,15,22,-7
16,14,UD Almería,16,17,17,25,-8
16,15,Real Valladolid CF,16,17,13,24,-11
16,16,RC Celta de Vigo,16,16,16,27,-11
16,17,Sevilla FC,16,15,16,24,-8
16,18,Cádiz CF,16,15,11,27,-16
16,19,RCD Espanyol de Barcelona,16,14,19,25,-6
16,20,Elche CF,16,4,10,34,-24
17,1,FC Barcelona,17,44,37,7,30
17,2,Real Madrid CF,17,41,38,16,22
17,3,Real Sociedad de Fútbol,17,35,26,18,8
17,4,Club Atlético de Madrid,17,28,24,16,8
17,5,Villarreal CF,17,28,20,13,7
17,6,Real Betis Balompié,17,28,20,15,5
17,7,CA Osasuna,17,27,17,16,1
17,8,Athletic Club,17,26,25,17,8
17,9,Rayo Vallecano de Madrid,17,26,24,20,4
17,10,RCD Mallorca,17,22,14,16,-2
17,11,Girona FC,17,21,26,27,-1
17,12,Valencia CF,17,19,23,20,3
17,13,UD Almería,17,18,18,26,-8
17,14,RCD Espanyol de Barcelona,17,17,21,26,-5
17,15,Getafe CF,17,17,16,24,-8
17,16,RC Celta de Vigo,17,17,17,28,-11
17,17,Real Valladolid CF,17,17,13,25,-12
17,18,Cádiz CF,17,16,12,28,-16
17,19,Sevilla FC,17,15,17,26,-9
17,20,Elche CF,17,5,11,35,-24
18,1,FC Barcelona,18,47,38,7,31
18,2,Real Madrid CF,18,44,40,16,24
18,3,Real Sociedad de Fútbol,18,38,28,18,10
18,4,Club Atlético de Madrid,18,31,27,16,11
18,5,Villarreal CF,18,31,21,13,8
18,6,Real Betis Balompié,18,28,20,16,4
18,7,CA Osasuna,18,28,18,17,1
18,8,Athletic Club,18,26,25,19,6
18,9,Rayo Vallecano de Madrid,18,26,24,22,2
18,10,RCD Mallorca,18,25,15,16,-1
18,11,Girona FC,18,21,26,28,-2
18,12,Valencia CF,18,20,25,22,3
18,13,RCD Espanyol de Barcelona,18,20,22,26,-4
18,14,UD Almería,18,19,20,28,-8
18,15,Sevilla FC,18,18,18,26,-8
18,16,Getafe CF,18,17,16,25,-9
18,17,RC Celta de Vigo,18,17,17,29,-12
18,18,Real Valladolid CF,18,17,13,28,-15
18,19,Cádiz CF,18,16,12,29,-17
18,20,Elche CF,18,6,12,36,-24
19,1,FC Barcelona,19,50,39,7,32
19,2,Real Madrid CF,19,45,40,16,24
19,3,Real Sociedad de Fútbol,19,39,28,18,10
19,4,Club Atlético de Madrid,19,34,28,16,12
19,5,Villarreal CF,19,31,21,14,7
19,6,Real Betis Balompié,19,31,21,16,5
19,7,Rayo Vallecano de Madrid,19,29,25,22,3
19,8,CA Osasuna,19,28,18,18,0
19,9,Athletic Club,19,26,25,20,5
19,10,RCD Mallorca,19,25,15,18,-3
19,11,UD Almería,19,22,23,29,-6
19,12,Girona FC,19,21,26,29,-3
19,13,Sevilla FC,19,21,21,26,-5
19,14,Valencia CF,19,20,25,23,2
19,15,RCD Espanyol de Barcelona,19,20,23,29,-6
19,16,RC Celta de Vigo,19,20,18,29,-11
19,17,Real Valladolid CF,19,20,14,28,-14
19,18,Cádiz CF,19,19,14,29,-15
19,19,Getafe CF,19,17,16,26,-10
19,20,Elche CF,19,6,12,39,-27
20,1,FC Barcelona,20,53,42,7,35
20,2,Real Madrid CF,20,45,40,17,23
20,3,Real Sociedad de Fútbol,20,39,28,19,9
20,4,Club Atlético de Madrid,20,35,29,17,12
20,5,Rayo Vallecano de Madrid,20,32,27,22,5
20,6,Villarreal CF,20,31,22,17,5
20,7,Real Betis Balompié,20,31,24,20,4
20,8,Athletic Club,20,29,29,21,8
20,9,CA Osasuna,20,29,19,19,0
20,10,RCD Mallorca,20,28,16,18,-2
20,11,Girona FC,20,24,27,29,-2
20,12,RC Celta de Vigo,20,23,22,32,-10
20,13,Real Valladolid CF,20,23,15,28,-13
20,14,UD Almería,20,22,23,31,-8
20,15,RCD Espanyol de Barcelona,20,21,24,30,-6
20,16,Sevilla FC,20,21,21,29,-8
20,17,Valencia CF,20,20,25,24,1
20,18,Cádiz CF,20,19,15,33,-18
20,19,Getafe CF,20,18,17,27,-10
20,20,Elche CF,20,9,15,40,-25
21,1,FC Barcelona,21,56,43,7,36
21,2,Real Madrid CF,21,48,44,17,27
21,3,Real Sociedad de Fútbol,21,42,31,21,10
21,4,Club Atlético de Madrid,21,38,30,17,13
21,5,Real Betis Balompié,21,34,27,22,5
21,6,Rayo Vallecano de Madrid,21,33,28,23,5
21,7,Athletic Club,21,32,31,22,9
21,8,Villarreal CF,21,31,22,18,4
21,9,CA Osasuna,21,30,19,19,0
21,10,RCD Mallorca,21,28,16,20,-4
21,11,Girona FC,21,24,27,31,-4
21,12,Sevilla FC,21,24,23,29,-6
21,13,Real Valladolid CF,21,24,15,28,-13
21,14,RC Celta de Vigo,21,23,22,33,-11
21,15,UD Almería,21,22,25,34,-9
21,16,Cádiz CF,21,22,17,33,-16
21,17,RCD Espanyol de Barcelona,21,21,26,33,-7
21,18,Valencia CF,21,20,26,26,0
21,19,Getafe CF,21,19,18,28,-10
21,20,Elche CF,21,9,15,44,-29
22,1,FC Barcelona,22,59,45,7,38
22,2,Real Madrid CF,22,51,46,17,29
22,3,Real Sociedad de Fútbol,22,43,32,22,10
22,4,Club Atlético de Madrid,22,41,31,17,14
22,5,Real Betis Balompié,22,37,29,23,6
22,6,Rayo Vallecano de Madrid,22,34,29,24,5
22,7,Athletic Club,22,32,31,23,8
22,8,Villarreal CF,22,31,24,22,2
22,9,RCD Mallorca,22,31,20,22,-2
22,10,CA Osasuna,22,30,19,21,-2
22,11,Girona FC,22,27,33,33,0
22,12,Sevilla FC,22,25,24,30,-6
22,13,RCD Espanyol de Barcelona,22,24,27,33,-6
22,14,RC Celta de Vigo,22,24,23,34,-11
22,15,Real Valladolid CF,22,24,16,30,-14
22,16,Getafe CF,22,22,19,28,-9
22,17,UD Almería,22,22,27,40,-13
22,18,Cádiz CF,22,22,17,35,-18
22,19,Valencia CF,22,20,26,27,-1
22,20,Elche CF,22,9,15,45,-30
23,1,FC Barcelona,23,59,45,8,37
23,2,Real Madrid CF,23,52,47,18,29
23,3,Real Sociedad de Fútbol,23,43,32,23,9
23,4,Club Atlético de Madrid,23,42,32,18,14
23,5,Real Betis Balompié,23,40,32,25,7
23,6,Rayo Vallecano de Madrid,23,34,29,25,4
23,7,Villarreal CF,23,34,26,23,3
