matchday,position,team_name,playedGames,points,goalsFor,goalsAgainst,goalDifference
14,11,Empoli FC,14,19,21,26,-5
14,12,US Sassuolo Calcio,14,18,22,21,1
14,13,Torino FC,14,17,17,14,3
14,14,Udinese Calcio,14,15,16,20,-4
14,15,UC Sampdoria,14,15,20,26,-6
14,16,Venezia FC,14,15,12,21,-9
14,17,Spezia Calcio,14,11,15,32,-17
14,18,Genoa CFC,14,10,17,26,-9
14,19,Cagliari Calcio,14,8,16,29,-13
14,20,US Salernitana 1919,14,8,11,29,-18
15,1,SSC Napoli,15,36,32,9,23
15,2,AC Milan,15,35,33,18,15
15,3,FC Internazionale Milano,15,34,36,15,21
15,4,Atalanta BC,15,31,32,17,15
15,5,AS Roma,15,25,24,16,8
15,6,ACF Fiorentina,15,24,24,20,4
15,7,Juventus FC,15,24,20,16,4
15,8,Bologna FC 1909,15,24,21,24,-3
15,9,SS Lazio,15,22,29,29,0
15,10,Hellas Verona FC,15,20,28,25,3
15,11,Empoli FC,15,20,23,28,-5
15,12,US Sassuolo Calcio,15,19,24,23,1
15,13,Torino FC,15,18,19,16,3
15,14,Udinese Calcio,15,16,20,24,-4
15,15,UC Sampdoria,15,15,21,29,-8
15,16,Venezia FC,15,15,12,25,-13
15,17,Spezia Calcio,15,11,15,34,-19
15,18,Genoa CFC,15,10,17,29,-12
15,19,Cagliari Calcio,15,9,16,29,-13
15,20,US Salernitana 1919,15,8,11,31,-20
16,1,AC Milan,16,38,35,18,17
16,2,FC Internazionale Milano,16,37,39,15,24
16,3,SSC Napoli,16,36,34,12,22
16,4,Atalanta BC,16,34,35,19,16
16,5,Juventus FC,16,27,22,16,6
16,6,ACF Fiorentina,16,27,27,22,5
16,7,AS Roma,16,25,24,19,5
16,8,SS Lazio,16,25,32,30,2
16,9,Bologna FC 1909,16,24,23,27,-4
16,10,Hellas Verona FC,16,23,32,28,4
16,11,Empoli FC,16,23,26,29,-3
16,12,US Sassuolo Calcio,16,20,26,25,1
16,13,Torino FC,16,19,20,17,3
16,14,Udinese Calcio,16,16,21,27,-6
16,15,UC Sampdoria,16,15,22,32,-10
16,16,Venezia FC,16,15,15,29,-14
16,17,Spezia Calcio,16,12,17,36,-19
16,18,Cagliari Calcio,16,10,17,30,-13
16,19,Genoa CFC,16,10,17,31,-14
16,20,US Salernitana 1919,16,8,11,33,-22
