matchday,position,team_name,playedGames
15,10,ACF Fiorentina,15
15,11,Bologna FC 1909,15
15,12,US Salernitana 1919,15
15,13,Empoli FC,15
15,14,AC Monza,15
15,15,US Sassuolo Calcio,15
15,16,US Lecce,15
15,17,Spezia Calcio,15
15,18,US Cremonese,15
15,19,UC Sampdoria,15
15,20,Hellas Verona FC,15
16,1,SSC Napoli,16
16,2,AC Milan,16
16,3,Juventus FC,16
16,4,FC Internazionale Milano,16
16,5,SS Lazio,16
16,6,AS Roma,16
16,7,Atalanta BC,16
16,8,Udinese Calcio,16
16,9,Torino FC,16
16,10,ACF Fiorentina,16
16,11,Bologna FC 1909,16
16,12,US Lecce,16
16,13,Empoli FC,16
16,14,US Salernitana 1919,16
16,15,AC Monza,16
16,16,US Sassuolo Calcio,16
16,17,Spezia Calcio,16
16,18,UC Sampdoria,16
16,19,US Cremonese,16
16,20,Hellas Verona FC,16
17,1,SSC Napoli,17
17,2,Juventus FC,17
17,3,AC Milan,17
17,4,FC Internazionale Milano,17
17,5,SS Lazio,17
17,6,Atalanta BC,17
17,7,AS Roma,17
17,8,Udinese Calcio,17
17,9,ACF Fiorentina,17
17,10,Torino FC,17
17,11,US Lecce,17
17,12,Bologna FC 1909,17
17,13,Empoli FC,17
17,14,US Salernitana 1919,17
17,15,AC Monza,17
17,16,US Sassuolo Calcio,17
17,17,Spezia Calcio,17
17,18,Hellas Verona FC,17
17,19,UC Sampdoria,17
17,20,US Cremonese,17
18,1,SSC Napoli,18
18,2,AC Milan,18
18,3,Juventus FC,18
18,4,FC Internazionale Milano,18
18,5,SS Lazio,18
18,6,Atalanta BC,18
18,7,AS Roma,18
18,8,Udinese Calcio,18
18,9,Torino FC,18
18,10,ACF Fiorentina,18
18,11,Bologna FC 1909,18
18,12,Empoli FC,18
18,13,AC Monza,18
18,14,US Lecce,18
18,15,Spezia Calcio,18
18,16,US Salernitana 1919,18
18,17,US Sassuolo Calcio,18
18,18,Hellas Verona FC,18
18,19,UC Sampdoria,18
18,20,US Cremonese,18
19,1,SSC Napoli,19
19,2,Juventus FC,19
19,3,AC Milan,19
19,4,SS Lazio,19
19,5,FC Internazionale Milano,19
19,6,AS Roma,19
19,7,Atalanta BC,19
19,8,Udinese Calcio,19
19,9,Torino FC,19
19,10,Empoli FC,19
19,11,ACF Fiorentina,19
19,12,Bologna FC 1909,19
19,13,AC Monza,19
19,14,US Lecce,19
19,15,Spezia Calcio,19
19,16,US Salernitana 1919,19
19,17,US Sassuolo Calcio,19
19,18,Hellas Verona FC,19
19,19,UC Sampdoria,19
19,20,US Cremonese,19
20,1,SSC Napoli,20
20,2,FC Internazionale Milano,20
20,3,SS Lazio,20
20,4,Atalanta BC,20
20,5,Juventus FC,20
20,6,AC Milan,20
20,7,AS Roma,20
20,8,Udinese Calcio,20
20,9,Torino FC,20
20,10,Bologna FC 1909,20
20,11,Empoli FC,20
20,12,AC Monza,20
20,13,ACF Fiorentina,20
20,14,US Salernitana 1919,20
20,15,US Lecce,20
20,16,US Sassuolo Calcio,20
20,17,Spezia Calcio,20
20,18,Hellas Verona FC,20
20,19,UC Sampdoria,20
20,20,US Cremonese,20
21,1,SSC Napoli,21
21,2,FC Internazionale Milano,21
21,3,Juventus FC,21
21,4,AS Roma,21
21,5,SS Lazio,21
21,6,Atalanta BC,21
21,7,AC Milan,21
21,8,Torino FC,21
21,9,Udinese Calcio,21
21,10,Bologna FC 1909,21
21,11,AC Monza,21
21,12,Empoli FC,21
21,13,ACF Fiorentina,21
21,14,US Lecce,21
21,15,US Sassuolo Calcio,21
21,16,US Salernitana 1919,21
21,17,Spezia Calcio,21
21,18,Hellas Verona FC,21
21,19,UC Sampdoria,21
21,20,US Cremonese,21
22,1,SSC Napoli,22
22,2,Juventus FC,22
22,3,FC Internazionale Milano,22
22,4,Atalanta BC,22
22,5,AS Roma,22
22,6,AC Milan,22
22,7,SS Lazio,22
22,8,Udinese Calcio,22
22,9,Torino FC,22
22,10,AC Monza,22
22,11,Bologna FC 1909,22
22,12,Empoli FC,22
22,13,US Lecce,22
22,14,ACF Fiorentina,22
22,15,US Sassuolo Calcio,22
22,16,US Salernitana 1919,22
22,17,Spezia Calcio,22
22,18,Hellas Verona FC,22
22,19,UC Sampdoria,22
22,20,US Cremonese,22
23,1,SSC Napoli,23
23,2,Juventus FC,23
23,3,FC Internazionale Milano,23
23,4,AS Roma,23
23,5,AC Milan,23
23,6,SS Lazio,23
23,7,Atalanta BC,23
23,8,Bologna FC 1909,23
23,9,Torino FC,23
23,10,Udinese Calcio,23
23,11,AC Monza,23
23,12,Empoli FC,23
23,13,US Lecce,23
23,14,ACF Fiorentina,23
23,15,US Sassuolo Calcio,23
23,16,US Salernitana 1919,23
23,17,Spezia Calcio,23
23,18,Hellas Verona FC,23
23,19,UC Sampdoria,23
23,20,US Cremonese,23
24,1,SSC Napoli,24
24,2,Juventus FC,24
24,3,FC Internazionale Milano,24
24,4,AC Milan,24
24,5,SS Lazio,24
24,6,AS Roma,24
24,7,Atalanta BC,24
24,8,Bologna FC 1909,24
24,9,Udinese Calcio,24
24,10,Torino FC,24
24,11,AC Monza,24
24,12,ACF Fiorentina,24
24,13,Empoli FC,24
24,14,US Lecce,24
24,15,US Sassuolo Calcio,24
24,16,US Salernitana 1919,24
24,17,Spezia Calcio,24
24,18,Hellas Verona FC,24
24,19,US Cremonese,24
24,20,UC Sampdoria,24
25,1,SSC Napoli,25
25,2,Juventus FC,25
25,3,FC Internazionale Milano,25
25,4,SS Lazio,25
25,5,AS Roma,25
25,6,AC Milan,25
